formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,compoundId,mappingFeatureId,overallFeatureQuality
1,C10H15NO3,[M + H]+,C10H16NO3+,Fatty acids,0.458,Fatty amides,0.272,Aminoacids,0.196,Organic acids and derivatives,0.996,Carboxylic acids and derivatives,0.993,"Amino acids, peptides, and analogues",0.546,Amino acids and derivatives,0.546,Amino acids and derivatives,0.546,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",198.112,43,0.725,830130139437372630,830129507599010726,830129507599010725,5050,
1,C8H14N6O5,[M + H]+,C8H15N6O5+,Amino acids and Peptides,0.926,Small peptides,0.967,Purine nucleosides,0.514,Organic acids and derivatives,0.991,Carboxylic acids and derivatives,0.981,"Amino acids, peptides, and analogues",0.971,Amino acids and derivatives,0.970,N-acyl-alpha amino acids,0.516,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Monosaccharides; Carbonyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; N-acyl-alpha amino acids; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",275.110,43,0.725,830130103475400792,830129522853696269,830129522849501964,5053,
1,C7H12N2O8,[M + Na]+,C7H12N2NaO8+,Carbohydrates,0.970,Nucleosides,0.372,Pyrimidine nucleosides,0.631,Organic oxygen compounds,1.000,Organooxygen compounds,0.992,Carbohydrates and carbohydrate conjugates,0.832,Monosaccharides,0.727,Monosaccharides,0.727,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Organic nitro compounds; Monosaccharides; Secondary alcohols; Carbonyl compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",275.048,44,0.725,830130998972058295,830129522782393091,830129522778198786,5605,
1,C12H15NO2,[M + H]+,C12H16NO2+,Alkaloids,0.749,Tryptophan alkaloids,0.380,Simple indole alkaloids,0.396,Benzenoids,0.894,Benzene and substituted derivatives,0.601,,,,,Benzene and substituted derivatives,0.601,Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,206.118,44,0.727,830130333306553083,830129509096377419,830129509096377418,5071,
1,C13H20N2O6,[M + H]+,C13H21N2O6+,Amino acids and Peptides,0.881,Small peptides,0.477,Dipeptides,0.192,Organic acids and derivatives,0.992,Carboxylic acids and derivatives,0.982,"Amino acids, peptides, and analogues",0.775,Amino acids and derivatives,0.776,Alpha amino acids,0.733,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Polyols; Alpha amino acids; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",301.140,44,0.727,830130108735059320,830129527127692655,830129527127692654,5072,
1,C11H14N4O6,[M + Na]+,C11H14N4NaO6+,Carbohydrates,0.931,Nucleosides,0.659,Pyrimidine nucleosides,0.420,Organic oxygen compounds,1.000,Organooxygen compounds,0.998,Carbohydrates and carbohydrate conjugates,0.571,,,Carbohydrates and carbohydrate conjugates,0.571,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Organic 1,3-dipolar compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",321.082,44,0.728,830130111784319166,830129529254205153,830129529250010848,5081,
1,C8H18N4O5,[M + H]+,C8H19N4O5+,Amino acids and Peptides,0.849,Small peptides,0.819,Dipeptides,0.343,Organic acids and derivatives,0.966,Carboxylic acids and derivatives,0.952,"Amino acids, peptides, and analogues",0.844,Amino acids and derivatives,0.838,Alpha amino acids and derivatives,0.724,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",251.137,44,0.739,830130572667150609,830129518676168925,830129518676168924,4117,
1,C6H10N3O3,[M + H]+,C6H11N3O3+,Amino acids and Peptides,0.416,Small peptides,0.730,Aminoacids,0.322,"Organic 1,3-dipolar compounds",0.719,"Allyl-type 1,3-dipolar organic compounds",0.708,Organic nitro compounds,0.734,,,Organic nitro compounds,0.734,"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Carbonyl compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",173.079,44,0.740,830130114439314197,830129503404706291,830129503400511986,5693,
1,C11H16N2O5,[M + H]+,C11H17N2O5+,Carbohydrates,0.918,Nucleosides,0.943,Pyrimidine nucleosides,0.950,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Carbohydrates and carbohydrate conjugates,0.976,Glycosyl compounds,0.953,Glycosylamines,0.919,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Pentoses; Monosaccharides; Secondary alcohols; Glycosyl compounds; Glycosylamines; Polyols; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",257.113,44,0.740,830130480216280580,830129519850574205,830129519850574204,4098,
1,C11H10N2O2,[M + H]+,C11H11N2O2+,Alkaloids,0.781,Small peptides,0.619,Aminoacids,0.208,Organic acids and derivatives,0.999,Carboxylic acids and derivatives,0.998,"Amino acids, peptides, and analogues",0.818,Amino acids and derivatives,0.817,Alpha amino acids and derivatives,0.824,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyridines and derivatives; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",203.081,45,0.746,830130102846255041,830129508517563397,830129508517563396,5289,
1,C6H10N4O2,[M + H]+,C6H11N4O2+,Alkaloids,0.543,Pseudoalkaloids (transamidation),0.464,Purine alkaloids,0.614,Organic acids and derivatives,0.852,Vinylogous amides,0.547,,,,,Vinylogous amides,0.547,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic carbonic acids and derivatives; Amines; Primary amines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,171.088,45,0.746,830131026469917195,830129503211768287,830129503211768286,6482,
1,C15H18N4O3,[M + H]+,C15H19N4O3+,Amino acids and Peptides,1.000,Small peptides,1.000,Dipeptides,0.999,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,1.000,"Amino acids, peptides, and analogues",1.000,Peptides,0.995,Dipeptides,0.974,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Azoles; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Substituted imidazoles; N-acyl-alpha amino acids; Benzenoids; Amines; Primary amines; Phenylpropanoic acids; Aralkylamines; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities",303.145,45,0.747,830130105283146216,830129527333213576,830129527333213575,5314,
1,C7H17N2O,[M + Na]+,C7H17N2NaO+,Alkaloids,0.665,Pseudoalkaloids (transamidation),0.755,Acetate-derived alkaloids,0.401,Organic oxygen compounds,0.983,Organooxygen compounds,0.942,Alcohols and polyols,0.643,,,Alcohols and polyols,0.643,Organic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,168.123,45,0.750,830130337890928966,830129502666508732,830129502666508731,5347,
1,C6H14O4,[M + H]+,C6H15O4+,Fatty acids,0.996,Glycerolipids,0.995,Monoacylglycerols,0.996,Lipids and lipid-like molecules,0.889,Glycerolipids,0.993,Monoradylglycerols,0.944,Monoalkylglycerols,0.971,1-O-alkyl-sn-glycerols,0.570,"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Secondary alcohols; Polyols; Glycerol ethers; 1,2-diols; Monoalkylglycerols; Monoradylglycerols; Hydrocarbon derivatives; 1-O-alkylglycerols; 1-O-alkyl-sn-glycerols; Organic oxygen compounds; Chemical entities",151.097,45,0.752,830130114628057932,830129500640659730,830129500636465425,5364,
1,C12H17NO3,[M + H]+,C12H18NO3+,Alkaloids,0.969,Tyrosine alkaloids,0.984,Phenylethylamines,0.984,Organic acids and derivatives,0.965,Carboxylic acids and derivatives,0.974,"Amino acids, peptides, and analogues",0.942,Amino acids and derivatives,0.941,Phenylalanine and derivatives,0.813,"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenols; Catechols; Phenethylamines; Amphetamines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Benzenediols; Carbonyl compounds; Dialkylamines; Benzene and substituted derivatives; Alpha amino acids; Benzenoids; Amines; Secondary amines; Phenylpropanoic acids; Aralkylamines; Organic oxides; Hydrocarbon derivatives; Amino acids; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",224.128,45,0.754,830130104310067477,830129513160658445,830129513160658444,5386,
1,C7H8N2O2,[M + Na]+,C7H8N2NaO2+,Amino acids and Peptides,0.419,Small peptides,0.379,Aminoacids,0.197,Organoheterocyclic compounds,0.852,Heteroaromatic compounds,0.541,,,,,Heteroaromatic compounds,0.541,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,175.048,45,0.758,830130108340794598,830129503782193691,830129503777999386,5431,
1,C9H13NO2,[M + H]+,C9H14NO2+,Alkaloids,0.740,Ornithine alkaloids,0.223,Phenylethylamines,0.167,Organoheterocyclic compounds,0.973,Furans,0.952,,,,,Furans,0.952,Organic compounds; Organoheterocyclic compounds; Furans; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,168.102,45,0.758,830130132747455779,830129502532290994,830129502528096689,5446,
1,C9H16N2O4,[M + Na]+,C9H16N2NaO4+,Amino acids and Peptides,0.987,Small peptides,0.992,Dipeptides,0.806,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,1.000,"Amino acids, peptides, and analogues",0.984,Amino acids and derivatives,0.983,N-acyl-alpha amino acids,0.667,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Amines; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",239.101,46,0.758,830131028663538290,830129516323164061,830129516323164060,5938,
1,C11H19N5O2,[M + H]+,C11H20N5O2+,Amino acids and Peptides,0.984,Small peptides,0.990,Aminoacids,0.758,Organic acids and derivatives,0.998,Carboxylic acids and derivatives,0.997,"Amino acids, peptides, and analogues",0.989,Amino acids and derivatives,0.988,Alpha amino acids and derivatives,0.981,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",254.161,46,0.761,830130108483401013,830129519393395004,830129519393395003,5486,
1,C7H8N2O2,[M + H]+,C7H9N2O2+,Alkaloids,0.993,Nicotinic acid alkaloids,0.997,Pyridine alkaloids,0.997,Organoheterocyclic compounds,0.999,Pyridines and derivatives,0.993,Pyridinecarboxylic acids and derivatives,0.919,Pyridinecarboxamides,0.888,Nicotinamides,0.892,Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dihydropyridines; Carboxylic acid amides; Carboxylic acid derivatives; Pyridinones; Pyridinecarboxylic acids and derivatives; Pyridinecarboxamides; Primary carboxylic acid amides; Hydropyridines; Nicotinamides; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,153.066,46,0.765,830130113592064612,830129501013952816,830129501009758511,5532,
